german,article,plural,english,level,category
Führerausweis,der,Führerausweise,driving license,A1,general
Ticket,das,Tickets,ticket,A1,transportation
Amt,das,Ämter,office,A1,places
Fahrt,die,Fahrten,trip,A1,transportation
Gesuch,das,Gesuche,application,A1,general
Pass,der,Pässe,passport,A1,general
Automat,der,Automaten,machine,A1,general
Zone,die,Zonen,zone,A1,places
Schluss,der,Schlüsse,end,A1,general
Bereich,der,Bereiche,area,A1,places
Gebühr,die,Gebühren,fee,A1,money
Sekretär,der,Sekretäre,secretary,A1,people
Sekretärin,die,Sekretärinnen,secretary,A1,people
Zigarette,die,Zigaretten,cigarette,A1,general
Parkplatz,der,Parkplätze,parking spot,A1,places
Gepäck,das,Gepäck,luggage,A1,general
Person,die,Personen,person,A1,people
Geburtsname,der,Geburtsnamen,birth name,A1,general
Geschlecht,das,Geschlechter,gender,A1,general
Ausländer,der,Ausländer,foreigner,A1,people
Ausländerin,die,Ausländerinnen,foreigner,A1,people
Angehörige,der,Angehörigen,relative,A1,people
Sprachschule,die,Sprachschulen,language school,A1,education
Auskunft,die,Auskünfte,information,A1,communication
Erlaubnis,die,Erlaubnisse,permission,A1,general
Botschaft,die,Botschaften,embassy,A1,places
Einladung,die,Einladungen,invitation,A1,communication
Dokument,das,Dokumente,document,A1,general
Identitätskarte,die,Identitätskarten,ID card,A1,general
Versicherung,die,Versicherungen,insurance,A1,general
Visum,das,Visa,visa,A1,general
Angestellte,der,Angestellten,employee,A1,people
Besuch,der,Besuche,visit,A1,general
Reservation,die,Reservationen,reservation,A1,general
Flug,der,Flüge,flight,A1,transportation
Reise,die,Reisen,journey,A1,transportation
