german,article,plural,english,level,category
Holz,das,Hölzer,wood,A2,nature
Hammer,der,Hämmer,hammer,A2,furniture
Werkzeug,das,Werkzeuge,tool,A2,furniture
Disco,die,Discos,disco / nightclub,A2,places
Diskothek,die,Diskotheken,nightclub,A2,places
Wäsche,die,,laundry,A2,home
Ding,das,Dinge,thing,A2,general
Meer,das,Meere,sea,A2,nature
Velotour,die,Velotouren,bike tour / cycle trip,A2,transportation
Vorschlag,der,Vorschläge,suggestion / proposal,A2,communication
Rundfahrt,die,Rundfahrten,tour / sightseeing trip,A2,transportation
Bar,die,Bars,bar,A2,places
Kultur,die,,culture,A2,general
Oper,die,Opern,opera,A2,places
Konzert,das,Konzerte,concert,A2,places
Schwimmbad,das,Schwimmbäder,swimming pool,A2,places
Treffpunkt,der,Treffpunkte,meeting point,A2,places
Rathaus,das,Rathäuser,town hall,A2,places
Teilnahme,die,,participation,A2,general
Jazz,der,,jazz,A2,general
Volkshochschule,die,Volkshochschulen,adult education center,A2,education
Politik,die,,politics,A2,education
Fotografie,die,,photography,A2,education
Semester,das,Semester,semester,A2,education
Wanderung,die,Wanderungen,hike,A2,nature
Programm,das,Programme,program / schedule,A2,general
Fan,der,Fans,fan,A2,people
Künstler,der,Künstler,artist (male),A2,people
Künstlerin,die,Künstlerinnen,artist (female),A2,people
Spielzeug,das,Spielzeuge,toy,A2,furniture
CD,die,CDs,CD,A2,general
Eintritt,der,Eintritte,admission / entry,A2,money
Plastik,das,,plastic,A2,general
Poster,das,Poster,poster,A2,furniture
Kerze,die,Kerzen,candle,A2,furniture
Feuerzeug,das,Feuerzeuge,lighter,A2,furniture
Kamera,die,Kameras,camera,A2,furniture
Bikini,der,Bikinis,bikini,A2,clothing
Platte,die,Platten,board / plate / slab,A2,furniture
Höhe,die,Höhen,height,A2,general
Zustand,der,Zustände,condition / state,A2,general
Qualität,die,Qualitäten,quality,A2,general
Besteck,das,Bestecke,cutlery,A2,furniture
Metall,das,Metalle,metal,A2,general
Stoff,der,Stoffe,fabric / material,A2,clothing
Hut,der,Hüte,hat,A2,clothing
Liebe,die,,love,A2,communication
Roman,der,Romane,novel,A2,education
Fussballstadion,das,Fussballstadien,football stadium,A2,places
PC,der,PCs,PC / computer,A2,general
Pudding,der,Puddings,pudding,A2,food
Schaufenster,das,Schaufenster,shop window,A2,places
Statistik,die,Statistiken,statistic,A2,education
Nahrungsmittel,das,Nahrungsmittel,food / foodstuff,A2,food
Steuer,die,Steuern,tax,A2,money
Transport,der,,transport,A2,transportation
Kredit,der,Kredite,loan / credit,A2,money
Erinnerung,die,Erinnerungen,memory / reminder,A2,communication
Gedanke,der,Gedanken,thought,A2,general
Schüssel,die,Schüsseln,bowl,A2,furniture
Lampe,die,Lampen,lamp,A2,furniture
Glas,das,Gläser,glass,A2,furniture
Eintrittsticket,das,Eintrittstickets,entry ticket,A2,money
Papier,das,Papiere,paper,A2,general
Paket,das,Pakete,package / parcel,A2,communication
Briefumschlag,der,Briefumschläge,envelope,A2,communication
Postkarte,die,Postkarten,postcard,A2,communication
Schere,die,Scheren,scissors,A2,furniture
Sendung,die,Sendungen,shipment / delivery,A2,communication
Schiff,das,Schiffe,ship,A2,transportation
Ernte,die,Ernten,harvest,A2,nature
Bahn,die,Bahnen,train / railway,A2,transportation
Hafen,der,Häfen,port / harbor,A2,places
Fantasie,die,Fantasien,fantasy / imagination,A2,general
Einschreiben,das,Einschreiben,registered letter,A2,communication
Päckchen,das,Päckchen,small parcel,A2,communication
Zoll,der,Zölle,customs / duty,A2,money
Sorge,die,Sorgen,worry / concern,A2,communication
Eisenbahn,die,Eisenbahnen,railway / train,A2,transportation
Blatt,das,Blätter,leaf / sheet,A2,nature
Bär,der,Bären,bear,A2,animals
Münze,die,Münzen,coin,A2,money
Ente,die,Enten,duck,A2,animals
Souvenir,das,Souvenirs,souvenir,A2,general
Tier,das,Tiere,animal,A2,animals
Vogel,der,Vögel,bird,A2,animals
Punkt,der,Punkte,dot / point,A2,general
Elefant,der,Elefanten,elephant,A2,animals
Rose,die,Rosen,rose,A2,nature
Stern,der,Sterne,star,A2,nature
Himmel,der,Himmel,sky / heaven,A2,nature
Netzwerk,das,Netzwerke,network,A2,communication
Wissen,das,,knowledge,A2,education
Quiz,das,,quiz,A2,education
Mobiltelefon,das,Mobiltelefone,mobile phone,A2,communication
Mail,das,Mails,email,A2,communication
Mailbox,die,Mailboxen,voicemail / mailbox,A2,communication
Erfolg,der,Erfolge,success,A2,general
Elternbeirat,der,Elternbeiräte,parent council,A2,people
Grippe,die,,flu / influenza,A2,health
Impfung,die,Impfungen,vaccination,A2,health
Konsulat,das,Konsulate,consulate,A2,places
Brief,der,Briefe,letter,A2,communication
Briefkasten,der,Briefkästen,mailbox / letterbox,A2,communication
Handy,das,Handys,mobile phone / cell phone,A2,communication
Chat,der,Chats,chat,A2,communication
