german,article,plural,english,level,category
Ahnung,die,Ahnungen,idea/clue,A2,general
Ampel,die,Ampeln,traffic light,A2,places
Angebot,das,Angebote,offer,A2,money
Anmeldung,die,Anmeldungen,registration,A2,general
Anruf,der,Anrufe,call,A2,communication
Anrufbeantworter,der,Anrufbeantworter,answering machine,A2,communication
Anschluss,der,Anschlüsse,connection,A2,general
Antwort,die,Antworten,answer,A2,communication
Anzeige,die,Anzeigen,advertisement,A2,communication
Anzug,der,Anzüge,suit,A2,clothing
Apfel,der,Äpfel,apple,A2,food
Apotheke,die,Apotheken,pharmacy,A2,places
Apparat,der,Apparate,device/machine,A2,general
Arbeit,die,Arbeiten,work,A2,education
Arm,der,Arme,arm,A2,body
Artikel,der,Artikel,article,A2,general
Auge,das,Augen,eye,A2,body
Ausflug,der,Ausflüge,excursion,A2,general
Ausgang,der,Ausgänge,exit,A2,places
Auskunft,die,Auskünfte,information,A2,communication
Ausland,das,,foreign country,A2,places
Ausstellung,die,Ausstellungen,exhibition,A2,general
Ausweis,der,Ausweise,ID card,A2,general
Auto,das,Autos,car,A2,transportation
Autobahn,die,Autobahnen,highway,A2,transportation
Automat,der,Automaten,machine/vending machine,A2,general
Baby,das,Babys,baby,A2,people
Babysitter,der,Babysitter,babysitter,A2,people
Bad,das,Bäder,bathroom,A2,home
Bahn,die,Bahnen,train/railway,A2,transportation
Bahnhof,der,Bahnhöfe,train station,A2,places
Bahnsteig,der,Bahnsteige,platform,A2,transportation
Ball,der,Bälle,ball,A2,general
Banane,die,Bananen,banana,A2,food
Band,die,Bands,band (music),A2,general
Bank,die,Banken,bank,A2,places
Bank,die,Bänke,bench,A2,furniture
Basketball,der,Basketbälle,basketball,A2,general
Bauch,der,Bäuche,stomach/belly,A2,body
Baum,der,Bäume,tree,A2,nature
Baustelle,die,Baustellen,construction site,A2,places
Bein,das,Beine,leg,A2,body
Beispiel,das,Beispiele,example,A2,general
Bekannte,der,Bekannten,acquaintance,A2,people
Berg,der,Berge,mountain,A2,nature
Beruf,der,Berufe,profession,A2,education
Bescheid,der,,information/notice,A2,communication
Besuch,der,Besuche,visit,A2,general
Bett,das,Betten,bed,A2,furniture
Bewerbung,die,Bewerbungen,application,A2,education
Bibliothek,die,Bibliotheken,library,A2,places
Bier,das,Biere,beer,A2,food
Bild,das,Bilder,picture/image,A2,general
Birne,die,Birnen,pear,A2,food
Bitte,die,Bitten,request,A2,communication
Blatt,das,Blätter,sheet/leaf,A2,general
Bleistift,der,Bleistifte,pencil,A2,education
Blume,die,Blumen,flower,A2,nature
Bluse,die,Blusen,blouse,A2,clothing
Bohne,die,Bohnen,bean,A2,food
Brot,das,Brote,bread,A2,food
Bruder,der,Brüder,brother,A2,people
Brötchen,das,Brötchen,bread roll,A2,food
Brücke,die,Brücken,bridge,A2,places
Buch,das,Bücher,book,A2,education
Buchstabe,der,Buchstaben,letter (alphabet),A2,general
Bus,der,Busse,bus,A2,transportation
Butter,die,,butter,A2,food
Bäckerei,die,Bäckereien,bakery,A2,places
Büro,das,Büros,office,A2,places
Cafeteria,die,Cafeterias,cafeteria,A2,places
Café,das,Cafés,café,A2,places
Chef,der,Chefs,boss/chief,A2,people
Chefin,die,Chefinnen,boss/chief (female),A2,people
Club,der,Clubs,club,A2,places
Comic,der,Comics,comic,A2,general
Computer,der,Computer,computer,A2,general
Creme,die,Cremes/-n,cream,A2,general
Dame,die,Damen,lady,A2,people
Dank,der,,thanks,A2,communication
Datei,die,Dateien,file,A2,general
Datum,das,Datumen,date,A2,time
Ding,das,Dinge,thing,A2,general
Disco,die,Discos,disco,A2,places
Disko,die,Diskos,disco,A2,places
Doppelzimmer,das,Doppelzimmer,double room,A2,home
Dorf,das,Dörfer,village,A2,places
Drucker,der,Drucker,printer,A2,general
Dusche,die,Duschen,shower,A2,home
E-Book,das,E-Books,e-book,A2,general
E-Mail,die,E-Mails,email,A2,communication
Ecke,die,Ecken,corner,A2,general
Ehefrau,die,Ehefrauen,wife,A2,people
Ehemann,der,Ehemänner,husband,A2,people
Ehepartner,der,Ehepartner,spouse,A2,people
Ei,das,Eier,egg,A2,food
Eingang,der,Eingänge,entrance,A2,places
Einladung,die,Einladungen,invitation,A2,communication
Eintritt,der,Eintritte,entrance/admission,A2,money
Eis,das,,ice/ice cream,A2,food
Empfänger,der,Empfänger,recipient,A2,communication
Ende,das,Enden,end,A2,time
Entschuldigung,die,Entschuldigungen,apology/excuse,A2,communication
Erdgeschoss,das,Erdgeschosse,ground floor,A2,home
Erfahrung,die,Erfahrungen,experience,A2,general
Erlaubnis,die,,permission,A2,general
Ermäßigung,die,Ermäßigungen,discount/reduction,A2,money
Erwachsene,der,Erwachsenen,adult,A2,people
Essen,das,Essen,food/meal,A2,food
Fach,das,Fächer,subject/compartment,A2,education
Fahrkarte,die,Fahrkarten,ticket,A2,transportation
Fahrplan,der,Fahrpläne,timetable/schedule,A2,transportation
Fahrrad,das,Fahrräder,bicycle,A2,transportation
Familie,die,Familien,family,A2,people
Familienname,der,Familiennamen,surname/family name,A2,people
