german,article,plural,english,level,category
Treppe,die,Treppen,staircase / stairs,B1,home
Stiege,die,Stiegen,staircase (Austrian),B1,home
Abo,das,Abos,subscription,B1,communication
Akku,der,Akkus,battery / rechargeable battery,B1,general
Azubi,der,Azubis,apprentice / trainee,B1,education
DVD,die,DVDs,DVD,B1,communication
Kfz,das,Kfz,motor vehicle,B1,transportation
Lkw,der,Lkw,truck / lorry,B1,transportation
Pkw,der,Pkw,car / passenger vehicle,B1,transportation
Baby,das,Babys,baby,B1,people
Babysitter,der,Babysitter,babysitter,B1,people
Band,die,Bands,band,B1,communication
Bar,die,Bars,bar,B1,places
Bikini,der,Bikinis,bikini,B1,clothing
Blog,der,Blogs,blog,B1,communication
Camp,das,Camps,camp,B1,places
Castingshow,die,Castingshows,casting show,B1,communication
CD-Player,der,CD-Player,CD player,B1,communication
Chat,der,Chats,chat,B1,communication
Chip,der,Chips,chip,B1,food
City,die,Cities,city centre,B1,places
Club,der,Clubs,club,B1,places
Computer,der,Computer,computer,B1,general
E-Bike,das,E-Bikes,e-bike / electric bicycle,B1,transportation
E-Book,das,E-Books,e-book,B1,communication
Fan,der,Fans,fan,B1,people
Fax,das,Faxe,fax,B1,communication
Festival,das,Festivals,festival,B1,communication
Fitness,die,Fitness,fitness,B1,health
Hamburger,der,Hamburger,hamburger,B1,food
Hit,der,Hits,hit,B1,communication
Homepage,die,Homepages,homepage / website,B1,communication
Internet,das,,internet,B1,communication
Jazz,der,,jazz,B1,communication
Job,der,Jobs,job,B1,education
Killer,der,Killer,killer,B1,people
Laptop,der,Laptops,laptop,B1,general
Link,der,Links,link,B1,communication
Mailbox,die,Mailboxen,mailbox / voicemail,B1,communication
Manager,der,Manager,manager,B1,people
Mobilbox,die,Mobilboxen,mobile voicemail,B1,communication
Mountainbike,das,Mountainbikes,mountain bike,B1,transportation
Plattform,die,Plattformen,platform,B1,general
Poster,das,Poster,poster,B1,communication
Puzzle,das,Puzzles,puzzle / jigsaw,B1,general
Show,die,Shows,show,B1,communication
